dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
Friday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
Friday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Friday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
Friday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Friday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
Friday,Inicio,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
Friday,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 10-22"
Friday,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
Friday,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
Friday,Pico,buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 10-22"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 14-18","tp 44-55"
Friday,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
Friday,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
Friday,Pico,Entrega,"Borda Sim","Refri Nao","vl 34-38","tp 33-44"
Friday,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
Friday,Final,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
Friday,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
Friday,Final,Buscar,"Borda Nao","Refri Nao","vl 10-14","tp 22-33"
Saturday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 10-22"
Saturday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
Saturday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Saturday,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
Saturday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 10-22"
Saturday,Inicio,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 22-33"
Saturday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Saturday,Inicio,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
Saturday,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
