,Company,Latitude,Longitude,Pais,Cidade
0,Cloud Devs,35.8970799,-78.8705963,US,Morrisville
1,Akaer,-23.1606616,-45.7875747,BR,Cacapava
2,Stefanini Brasil,37.541988,-77.4405724,US,Richmond
3,Unimed Sul Capixaba,-20.8529059,-41.1159018,BR,Cachoeiro de Itapemirim
4,CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,-15.7880201,-47.8782054,BR,Brasilia
5,Gerencianet,-23.5634382,-46.6547934,BR,Sao Paulo
6,Distrilaf,-20.681172,-43.772068,BR,Conselheiro Lafaiete
7,Via Reversa,45.4587317,-73.8352551,CA,Pointe-Claire
8,Avenue Code,37.7869368,-122.4055448,US,San Francisco
9,Invillia,-21.8049737,-48.1736809,BR,Araraquara
10,BioCatch,40.7613801,-73.9693636,US,Manhattan
11,prestd,,,,
12,,37.2256055,-95.7162018,US,Independence
13,Crefisa,-11.1836549,-40.5107791,BR,Jacobina
14,Hybrid Formula-E Team ,,,,
15,KaBuM!,19.462832,-99.2393578,MX,Naucalpan de Juarez
16,TQI,26.1807605,-80.21544229999999,US,Lauderdale Lakes
17,Zup Innovation,-19.9290936,-43.9318449,BR,Belo Horizonte
18,CrediSIS,-10.8760014,-61.954633,BR,Ji Parana
19,Zup Innovation,-19.9290936,-43.9318449,BR,Belo Horizonte
20,PepsiCo,33.0831337,-96.81619859999999,US,Frisco
21,Paulo,42.1460155,-72.6050451,US,Chicopee
22,"URJA Social - Tecnologia, Gestão e Operação Ltda",-8.061048699999999,-34.8721372,BR,Recife
23,Prefeitura Municipal de Nova Trento,-27.286595,-48.93031939999999,BR,Sao Joao Batista
24,Bradesco,40.7614676,-73.9712067,US,Manhattan
25,Mercantil do Brasil,25.6838185,-100.3149288,MX,Monterrey
26,everis,42.3559753,-71.0521512,US,Boston
27,Universidade Federal de Santa Catarina,-27.5999666,-48.5194152,BR,Carvoeira
28, EXPN Consultoria em desenvolvimento de software,-23.5666485,-46.6509842,BR,Sao Paulo
29,Infofast Cursos Profissionalizantes,-6.069979600000001,-49.9041742,BR,Maraba
30,Elumini Outdoing IT,-23.545294,-46.634542,BR,Sao Paulo
31,,37.2256055,-95.7162018,US,Independence
32,Teltec Solutions,-27.6087811,-48.5780882,BR,Florianopolis
33,Drogaria Araujo S/A,-19.9148705,-43.9512978,BR,Belo Horizonte
34,Natura,40.7232856,-73.9938049,US,New York City
35,Secretaria de Saúde do Ceará,-3.720732099999999,-38.5175326,BR,Fortaleza
36,Construtora Cim,-23.452654,-51.953464,BR,Maringa
37,Nouryon,29.5861478,-95.4314249,US,Fresno
38,,37.2256055,-95.7162018,US,Independence
39,CEEE,42.5092937,-92.4559719,US,Cedar Falls
40,Teachinguide.com,37.4274745,-122.169719,US,Stanford
41,Laticínios Tirol,-26.9952007,-51.4135064,BR,Joacaba
42,Stefanini,42.48633,-83.311877,US,Franklin
43,Aeris Energy,44.3106241,-69.7794897,US,Augusta
44,Grupo Casa Magalhães,-3.7748884,-38.4891612,BR,Fortaleza
45,Decode,29.7381015,-95.3908154,US,Houston
46,Ecori Energia Solar,-20.8328609,-49.40515509999999,BR,Sao Jose do Rio Preto
47,Sociedade Porvir Cientifico - Rede La Salle e Ensino,-30.008194,-51.1859489,BR,Porto Alegre
48,Beegol,-23.5941778,-46.68567480000001,BR,Sao Paulo
49,International Institute of Physics - UFRN,-5.8404675,-35.1955351,BR,Natal
50,Radix Engenharia e Software,29.7776993,-95.5437223,US,Bunker Hill Village
51,Inteligencia de Negocios,44.8304543,-93.50427400000001,US,Shakopee
52,Eldorado Brasil Celulose S/A,-20.8875251,-51.3593298,BR,Andradina
53,Nenhuma,28.4525504,-81.4378886,US,Tangelo Park
54,FDC TECNOLOGIA,-12.9699005,-38.4224185,BR,Salvador
55,Corptocorp Org,40.7046172,-74.01123249999999,US,New York City
56,Hotmart,25.4967024,-103.4035908,MX,Torreon
57,TOTVS,37.4043887,-122.0770556,US,Mountain View
58,Eleva Educação,-22.9556128,-43.18263959999999,BR,Rio de Janeiro
59,Sisaut Tecnologia,-20.7261438,-46.6116254,BR,Passos
60,Betha Sistemas,19.4252615,-99.1530313,MX,Cuauhtemoc
61,Petrobras,29.7279912,-95.5555577,US,Bunker Hill Village
62,Prefeitura Municipal de Caraguatatuba ,-23.619337,-45.409855,BR,Caraguatatuba
63,Brave.ag,39.1039924,-84.510032,US,Newport
64,Paraná Banco S/A,-23.1820126,-50.6488965,BR,Assai
65,Deal,40.243168,-74.0006927,US,Asbury Park
66,Vero Internet,27.6406698,-80.44861379999999,US,West Vero Corridor
67,,37.2256055,-95.7162018,US,Independence
68,CCR Metrô Bahia,-12.9265924,-38.4649875,BR,Salvador
69,Home Office,36.3648645,-94.2176775,US,Bentonville
70,,37.2256055,-95.7162018,US,Independence
71,,37.2256055,-95.7162018,US,Independence
72,Delaxy Marketplace,26.4561034,-80.1891201,US,Villages of Oriole
73,Autônomo,41.975919,-87.712086,US,Lincolnwood
74,Centro Universitário São Lucas,-8.7719247,-63.89558299999999,BR,Porto Velho
75,Hub Fintech ,-23.500966,-46.8261359,BR,Carapicuiba
76,Senac Santa Catarina,-27.5937832,-48.5570337,BR,Florianopolis
77,Armazém de Documentos,-26.3042458,-48.8794853,BR,Joinville
78,MachLab,41.6594594,-91.5479919,US,University Heights
79,WF Estruturas e Sistemas,-22.8538988,-48.4916968,BR,Botucatu
80,ByteCom Sistemas e Serviços Ltda,-26.4951125,-49.0897882,BR,Jaragua do Sul
81,Centro Universitário de União da Vitória UNIUV,-26.2425444,-51.0917486,BR,Uniao da Vitoria
82,Estamos aqui para cuidar de você,-23.5599715,-46.6514124,BR,Sao Paulo
83,EBSERH,-7.1353749,-34.8405534,BR,Joao Pessoa
84,Bravo - Serviços Logísticos,-15.6745256,-55.948639,BR,Cuiaba
85,MC1 - Win The Market,-23.5679067,-46.6512623,BR,Sao Paulo
86,iTER Software de Rastreamento e Telemetria,-27.599322,-48.605751,BR,Campinas
87,UPFLUX Advanced Analytics,,,,
88,Creditas,50.2303003,12.868645,CZ,Karlovy Vary
89,Deloitte Brasil,-23.6249859,-46.7015877,BR,Taboao da Serra
90,Tribunal de Justiça Militar de São Paulo,-23.5463293,-46.6502105,BR,Sao Paulo
91,Mixtel Atacado,-25.4831783,-49.2984804,BR,Curitiba
92,ARISB-MG,-19.9197058,-43.93889670000001,BR,Belo Horizonte
93,"AC Tecnologia - Áudio/Vídeo, Automação Corporativa, Residencial, e Gov.",-15.8018206,-47.9261512,BR,Brasilia
