,CONTENT
0,"Hi Milos! We are developing a kind of a social network in our platform, so it will be possible to post jog opportunities there (I think in 1 or 2 months)"
1,"Hi Jones,  We are after an IOS developer with security encryption or blockchain experience for a REMOTE can start part-time and switch to Full-time contract. (we also need a Swift dev)  Client is US based. our budget is 25 usd/ hour.   How is your spoken English [rate of 0- 10]?  "
2,"Valeu, Anderson"
3,"Obrigado Jones  por me adicionar! Eu também sou aluno seu lá na udemy no cirso de machine learning, valeu um abraço "
4,👍
5,VAleu Nilo :)
6,Parabéns e ótimo 2021 para vc Jones.
7,Congrats on your work anniversary!
8,👍
9,Olá Nilo! Vi seu e-mail e em breve respondo por lá :)
10,"Olá Jones, tudo bem?  Meu nome é Nilo Guimarães e, assim como você, sou Professor na Plataforma UDEMY. (https://www.udemy.com/user/nilo-guimaraes)  Recentemente fiz uma estratégia que aumentou consideravelmente as minhas vendas e do Instrutor UDEMY parceiro Fernando Amaral.  Basicamente o que fizemos foi colocar o Fernado Amaral como co-autor, em um dos meus cursos, de forma que ele pode enviar um anúncio UDEMY, para seus mais de 86 mil alunos, divulgando o curso. Com um único anúncio UDEMY conquistamos muitos novos alunos para o curso em co-autoria e esta ação rendeu uma boa receita extra para nós. Visto que você tem mais de 57 mil alunos eu imagino que acontecerá um pico de vendas se fizermos uma parceria semelhante em algum de nossos cursos. O que você pensa a respeito desta ideia?  Obrigado! Nilo Guimarãeshttps://www.linkedin.com/in/"
11,"Olá Diego!Tem nesse curso abaixo, mas nada muito avançado https://iaexpert.academy/courses/tensorflow-20-guia-completo-novo-tensorflow/"
12,"Jones, boa noite! Tudo bem? Você tem algum curso sobre deploy de ML? Hoje eu faço isso usando pickle, mas acredito não ser uma boa prática."
13,"Olá Davi! Se puder repassar esse texto para o e-mail jones@iaexpert.com.br, que aí fica mais fácil pra eu responder"
14,"Olá Jones, tudo bem?  Eu comprei  alguns cursos seus sobre machine learning e visão computacional. Eu estou fazendo meu TCC de engenharia e gostaria de saber se você poderia me tirar uma dúvida. O TCC é sobre organização de produção e estoque. Estou montando um robozinho com Raspberry PI e Arduino. Meu objetivo é usar visão computação para o robô reconhecer alguns objetos (à princípio serão 3 cubos com cores diferentes) e transportá-los até um determinado ponto. Estou finalizando o seu curso sobre o método haarcascade e ele não me parece ser o método mais indicado para isso. Você poderia me recomendar algum método de reconhecimento de objetos para usar no robô? Estou pensando na possibilidade de usar QRCode, acha viável?  Desde já agradeço!"
15,Valeu Dagoberto :)
16,"Oi Jones, desejo um 2021 exuberante para você e sua família. Muitos dos nossos clientes estão concentrando os treinamentos para as equipes de vendas em Janeiro e Fevereiro, assim, terão os resultados de aumento de vendas ainda no primeiro semestre.  Estou enviando o link onde disponibilizamos nosso catálogo com todos os treinamentos que estamos oferecendo e a tabela de preços. Talvez você queira passar o link para sua equipe de vendas ou RH para que eles escolham os treinamentos para o primeiro trimestre. https://www.advanceconsulting.com.br/treinamentos  Estou à disposição para ajudar a escolher os melhores treinamentos para sua equipe de vendas. Abraços."
17,"Oi Jones, O mercado crescerá 9,5% em 2020 e 10% em 2021 A constatação vem da pesquisa que a ADVANCE faz trimestralmente para identificar a percepção dos empresários de TI com o momento de mercado. Na pesquisa feita em Outubro de 2020 os empresários de TI se mostraram surpresos, positivamente, com os resultados de 2020 e otimistas com o mercado em 2021.  Convido você a acessar o relatório completo da pesquisa em: https://www.advanceconsulting.com.br/pesquisa  Abraços. Dago."
18,Entendi! Valeu por avisar! Vamos dar uma olhada
19,Não sei se conseguir explicar muito bem
20,"Jones, quando clica com o botão direito em cima do vídeo e coloca em inspecionar e procuro por mp4, o usuário consegue encontrar o link do vídeo e com isso faz o download."
21,Olá Renato! Poderia passar mais detalhes? E que bom que está gostando dos cursos :)
22,"Boa Tarde Profº Jones! Tudo bem?  Espero que sim. Encontrei uma falha no site da IA EXPERT ACADEMY, onde está sendo possível fazer download das aulas. Espero ter ajudado. Parabéns pelos cursos...são ótimos!!!"
23,Valeu Rogério :)
24,Parabéns pelo seu aniversário de empresa!
25,Muito obrigado professor Jones! Abraço!
26,"Dê uma olhada no e-book na página principal do site www.iaexpert.academy, que tem algumas dicas sobre esse assunto :)"
27,"Bom dia professor Jones! Muito obrigado pelo retorno.  Outra dúvida seria, voce acha importante uma Pós Graduação em Ciências de Dados?"
28,"Olá Vinicius! A grade parece interessante, porém, dê uma olhada em avaliações/comentários (se tiver). Achei falta de disciplinas sobre deep learning, que é uma das áreas mais importantes"
29,"Olá professor Jones, boa tarde! Tudo bem com você? espero que sim.  Sou formado em Analise e Desenvolvimento de Sistemas, atualmente sou desenvolvedor web.  Gostaria de estar estudando sobre Ciências de Dados.  Você me recomendaria o curso de Pós Graduação EaD Ciências de Dados na Universidade Anhembi Morumbi. ( encurtador.com.br/egJTZ )  Muito obrigado professor Jones."
30,"Olá %FIRSTNAME%,   A Zendesk está ajudando empresas como Nubank, Magazine Luiza e Loggi a escalarem suas operações de atendimento sempre com o foco no cliente. Nossas soluções unificam toda comunicação com o usuário em uma plataforma, seja ela por chat, e-mail, WhatsApp ou telefone, garantindo rapidez no tempo de resposta e maior produtividade da sua equipe.    Você gostaria de descobrir como a Zendesk pode ajudar a %COMPANYNAME% a atender seus clientes de maneira mais rápida e eficiente? "
31,"Obrigada por esta dica, vou dar uma olhada lá tb..."
32,Que bom que está gostando!! :) Tem mais algumas métricas no curso Ciência de Dados para Empresas e Negócios
33,"To amando suas aulas, e ahhhh eu tinha te mandado um email buscando informações sobre metricas e encontrei lá no curso de ML de A a Z (Python) 🤓..."
34,Obrigado Fabiola :)
35,Parabéns pelo seu aniversário de empresa!
